aliquot_uuid	aliquot_barcode
80444ef3-0ac2-45fc-b0c5-237cd8bb8fc0	TCGA-33-4586-01A-01R-1443-07
3379dfb4-e4f0-492f-bdcd-0f76d3b94b0d	TCGA-39-5016-01A-01R-1443-07
4c91a673-ed50-41b5-8261-50c9b8716aa2	TCGA-66-2789-01A-01R-0980-07
fecc45b4-3293-4a47-837b-74e42c6cbf0f	TCGA-39-5028-01A-01R-1443-07
bc493a57-6821-4607-a841-5ffc39391910	TCGA-18-3411-01A-01R-0980-07
2adbe625-d7cc-45a9-b00b-e5e439e52deb	TCGA-37-4135-01A-01R-1100-07
91102ced-5e0a-427b-8640-4dfddf2004a7	TCGA-66-2771-01A-01R-0980-07
d0819fd7-9468-4da3-aade-ccf24cf3989d	TCGA-18-3421-01A-01R-0980-07
7fae0485-2028-47e3-a3e1-248257fcc02e	TCGA-OR-A5JX-01A-11R-A29S-07
6d58864b-b895-4908-bf83-3e7535f946bc	TCGA-SP-A6QC-01A-11R-A35L-07
134503af-e10e-41f4-97a4-c1261144b36a	TCGA-60-2706-01A-01R-0851-07
4686dc73-c481-4e93-977c-980887726234	TCGA-34-5929-01A-11R-1820-07
ca366b19-d82e-4e65-9fde-f3be38fbe038	TCGA-34-5239-01A-21R-1820-07
cdae461e-021e-4e59-ac04-d640d29d29dc	TCGA-34-5231-01A-21R-1820-07
bfff9773-9089-4b7e-9470-f0ddcabae065	TCGA-22-5483-01A-01R-1820-07
e912b601-aff4-49e1-924f-44d242699608	TCGA-56-1622-01A-01R-0692-07
384dced4-1686-4f9d-bdd7-c5c54ca92bf8	TCGA-66-2757-01A-01R-0851-07
cb61137c-aa73-433e-b7a8-f3e8b161a532	TCGA-22-4596-01A-01R-1201-07
7642842f-8f88-4ac5-a393-ec2d37655033	TCGA-60-2726-01A-01R-0851-07
87af5ba8-6e7d-4177-82d2-57b7268d6018	TCGA-39-5030-01A-01R-1443-07
b85005d9-b5ed-4b0c-8a8d-adaeac34b08e	TCGA-W2-A7HE-01A-11R-A35L-07
1c01b4ed-b807-4321-aa93-a26792f6283a	TCGA-85-7710-01A-11R-2125-07
1bc29a8a-19a4-4b79-ad7e-a64633b2c487	TCGA-85-8584-01A-11R-2403-07
25361c46-91f3-4b7b-80e0-ef8576ce00c1	TCGA-43-6773-01A-41R-1949-07
eb9fed2e-137c-4bcc-b69a-0da18e9bd6d9	TCGA-77-8128-01A-11R-2247-07
db85a3d4-61c8-4b3d-8d5e-f49fc9638cbb	TCGA-39-5022-01A-21R-1820-07
abcb146e-a12e-4400-8d55-856de7fb8492	TCGA-SP-A6QD-01A-12R-A35L-07
06460d4f-a32d-4e68-a02b-e047d491c3a5	TCGA-56-8083-01A-11R-2247-07
adda0fb6-b939-4fac-a005-3696d05d1971	TCGA-77-8153-01A-11R-2403-07
a825b1eb-e03b-44da-8587-899244ca6c0e	TCGA-77-8148-01A-11R-2247-07
84b37e1a-260f-42c8-92d2-377ba130168d	TCGA-77-8131-01A-11R-2247-07
8cebbeaa-9421-4012-becb-10de3f135a3e	TCGA-43-8118-01A-11R-2403-07
d557d077-7341-4e0e-8994-9c36b45fe02d	TCGA-92-8065-01A-11R-2247-07
f8789ef6-b073-463f-be80-1fe462adeee7	TCGA-58-8390-01A-11R-2326-07
d3452656-5eac-4d9f-9351-74f1128eb057	TCGA-85-8479-01A-11R-2326-07
7ab19c79-6e54-4c4e-a9bf-fd671d0aaa2e	TCGA-85-8351-01A-11R-2296-07
9e45ff91-c250-4956-9f86-1ecae2fc0a38	TCGA-94-8491-01A-11R-2326-07
